Question,Reponse1,Reponse2,Reponse3
q1a,25,,
q1b,0,,
q2a,Beauvais,7.7,
q2b,Nice,14.2,
q2c,Brest,15.5,
q2d,Ajaccio,22.5,
q2e,Ajaccio,515.8,
q2f,Biarritz,1819.4,
q2g,Brest,1363.2,
q2h,Ajaccio,2854.5,
q3a,3.253599999999999,,
q3b,4.315833333333331,,
q3c,82209.53310000002,,
q3d,198650.1257666667,,
q4a,9.787999999999998,,
q4b,9.2,,
q4c,1.8037738217415173,,
q5a,1881.108,,
q5b,1694.0,,
q5c,445.7018350496963,,
q6a,Temperature_maximale & Duree_ensoleillement,0.9490537451909286,
q6b,Hauteur_precipitations & Duree_ensoleillement,-0.3298125874294128,
q6c,Temperature_minimale & Hauteur_precipitations,-0.005084415280884977,
q8a,,,
q8b,,,
q12a,,,
q12b,,,
q12c,,,
q12d,,,
q12e,,,
q13a,,,
q13b,,,
q14a,,,
q14b,,,
q16a,,,
q16b,,,
q17,,,
